Account ID,Org Name,W-A1 Number of wastewater pump stations,W-A1 Reason not available,W-A2.1 Total length of gravity wastewater pipes (km),W-A2.1 Reason not available,W-A2.2 Total length of pressured wastewater pipes (km),W-A2.2 Reason not available,W-A2.3 Total length of vacuum wastewater pipes (km),W-A2.3 Reason not available,W-A3 Total length of combined WW and SW pipes (km),W-A3 Reason not available,W-A4 Wastewater imported for treatment (m3/year),W-A4 Reason not available,W-A5 Wastewater exported for treatment (m3/year),W-A5 Reason not available,W-A1 to W-A5 Data confidence,W-A6 Number of wastewater treatment plants,W-A6 Reason not available,W-A6 Data confidence,W-EH1.1 Residential connections to gravity sewers,W-EH1.1 Reason not available,W-EH1.2 Residential connections to pressure sewers,W-EH1.2 Reason not available,W-EH1.3 Residential connections to vacuum sewers,W-EH1.3 Reason not available,W-EH2.1 Non-residential connections to gravity sewers,W-EH2.1 Reason not available,W-EH2.2 Non-residential connections to pressure sewers,W-EH2.2 Reason not available,W-EH2.3 Non-residential connections to vacuum sewers,W-EH2.3 Reason not available,W-EH1.1 to W-EH2.3 Data confidence,W-EH10 Number of overflows caused by blockages,W-EH10 Reason not available,W-EH11 Number of overflows caused by plant failure or equipment damage,W-EH11 Reason not available,W-EH12 Number of overflows caused by capacity exceeded (WW network),W-EH12 Reason not available,W-EH13 Number of overflows caused by capacity exceeded (combined WW/SW),W-EH13 Reason not available,W-EH14 Number of overflows from other causes,W-EH14 Reason not available,W-EH15 Number of overflows on private properties attributable to provider,W-EH15 Reason not available,W-EH16 How are overflows reported to the network operator?,W-EH16 Reason not available,W-EH17 Are overflows recorded through SCADA?,W-EH17 Reason not available,W-EH18 What methodology is used for calculating overflows?,W-EH18 Reason not available,W-EH19 Number of hours WWTP processes fully bypassed (hours),W-EH19 Reason not available,W-EH10 to W-EH19 Data confidence,W-EH23 Number of trade waste consents,W-EH23 Reason not available,W-EH24 Number of times trade waste consents breached,W-EH24 Reason not available,W-EH25 Actions taken due to trade waste consent breaches,W-EH25 Reason not available,W-EH23 to W-EH25 Data confidence,W-R1 Median time to attend to a fault (hours),W-R1 Reason not available,W-R2 Median time to resolve a fault (hours),W-R2 Reason not available,W-R1 to W-R2 Data confidence,W-R7 Number of planned maintenance activities,W-R7 Reason not available,W-R8 Number of third-party incidents,W-R8 Reason not available,W-R7 to W-R8 Data confidence,W-R9.1 % of WW pipes with condition grading,W-R9.1 Reason not available,W-R9.1 Data confidence,W-R9.2 WW pipe condition grading methodology,W-R9.2 Reason not available,W-R9.2 Data confidence,W-R10 % WW pipes in poor or very poor condition,W-R10 Reason not available,W-R10 Data confidence,W-R11 Average age of wastewater pipes (years),W-R11 Reason not available,W-R11 Data confidence,W-R12 % WW pipes with CCTV inspections in last 5 years,W-R12 Reason not available,W-R12 Data confidence,W-R13.1 % above-ground assets with condition grading,W-R13.1 Reason not available,W-R13.1 Data confidence,W-R13.2 Above-ground asset grading methodology,W-R13.2 Reason not available,W-R13.2 Data confidence,W-R14 % above-ground assets in poor or very poor condition,W-R14 Reason not available,W-R14 Data confidence,W-RE1 Grid electricity use (kWh),W-RE1 Reason not available,W-RE2 Energy use from other fuels (GJ),W-RE2 Reason not available,W-RE1 to W-RE2 Data confidence,W-RL1.1 Critical wastewater assets assessment undertaken?,W-RL1.1 Reason not available,W-RL1.1 Data confidence,W-RL1.2 Criticality methodology,W-RL1.2 Reason not available,W-RL1.2 Data confidence
ACC-00001034,Horowhenua District Council,53,,194,,73,,0,,360,,0,,0,,,6,,,13137,,0,,0,,768,,0,,0,,,27,,2,,0,,13,,15,,8,,Written,,No,,Measure Not Applicable,,0,,,8,,2,,Work with customers on a practical plan that delivers solutions,,,15,,3.45,,,,,,,,100,,4 - Reliable,Desktop assessment,,3 - Less Reliable,41,,4 - Reliable,37,,4 - Reliable,,,2 - Uncertain,100,,3 - Less Reliable,Asset inspections,,3 - Less Reliable,5,,3 - Less Reliable,1771537,,0,Data Not Available,3 - Less Reliable,Yes,,3 - Less Reliable,Desktop assessment,,3 - Less Reliable
ACC-00001012,Hurunui District Council,15,,153,,4,,0,,0,,0,,0,,,7,,,3248,,124,,0,,1263,,0,,0,,,3,,0,,0,,0,,0,,0,,Both,,No,,SCADA,,0,Data Not Available,,75,Data Not Available,4,Data Not Available,Education,Data Not Available,,0.65,,2,,,463,,0,,,100,,,Desktop assessment,,,1,,,33,,,20,,,100,,,Asset inspections,,,1,,,,Data Not Available,0,,,Yes,,,Internal criticality assesment framework,,
ACC-00008502,Invercargill City Council,31,,834,,33,,0,,0,,0,,0,,5 - Highly Reliable,3,,5 - Highly Reliable,21343,,0,,0,,1564,,0,,0,,4 - Reliable,30,,0,,0,,0,Measure Not Applicable,0,,10,,Both,,Yes,,SCADA,,0,,4 - Reliable,68,,1,,Work with cvonsent holder,,4 - Reliable,1,,1,,4 - Reliable,293,,0,,4 - Reliable,27,,4 - Reliable,Asset inspections,,4 - Reliable,6,,3 - Less Reliable,66,,4 - Reliable,21,,4 - Reliable,100,,4 - Reliable,Asset inspections,,4 - Reliable,0,,4 - Reliable,3301657.61,,0,,4 - Reliable,Yes,,4 - Reliable,Desktop assessment,,4 - Reliable
ACC-00001004,Kaikoura District Council,38,,47,,16,,0,,0,,0,,0,,,1,,,1200,,200,,0,,50,,3,,0,,,0,,0,,0,,0,,0,,0,,Both,,Yes,,Measure Not Applicable,,0,,,0,,0,,Consenting of tradewaste properties being undertaken currently. Approx. 60 properties,,,1,,24,,,,,,,,85,,,Desktop assessment,,,5,,,39,,,5,,,100,,,Asset inspections,,,8,,,,Data Not Available,0,,,Yes,,,Desktop assessment,,
ACC-00001094,Kaipara District Council,30,,179,,44,,0,,0,,0,,0,,,5,,,4383,,1055,,0,,361,,102,,0,,,46,,15,,1,,0,,16,,13,,Both,,No,,Data Not Available,Data Not Available,0,,,0,,0,,,,,0.36,,2.51,,4 - Reliable,0,,0,,4 - Reliable,97,,2 - Uncertain,Other (Please identify in the comments section),,3 - Less Reliable,3,,2 - Uncertain,20,,2 - Uncertain,2,,2 - Uncertain,100,,3 - Less Reliable,Other (Please identify in the comments section),,3 - Less Reliable,4,,2 - Uncertain,1075244,,0,,2 - Uncertain,Yes,,3 - Less Reliable,Other (Please identify in the comments section),,3 - Less Reliable
ACC-00008506,Kapiti Coast District Council,157,,307.04887,,55.954075,,0,,0,,0,,0,,5 - Highly Reliable,2,,5 - Highly Reliable,20833,,170,,0,,1130,,0,,0,,4 - Reliable,39,,1,,0,,0,,2,,0,,Both,,Yes,,SCADA,,0,,4 - Reliable,0,,2,,1,,4 - Reliable,0.4,,1.5,,4 - Reliable,3,,0,,4 - Reliable,100,,5 - Highly Reliable,"Critical Life of pipe determined by Material type
Remaining life calculated from pipe installation date and Critical Life
Raw Condition score determined by percentage remain life of pipe.
Condition Score then updated with Structural Grade if CCTV available.",,4 - Reliable,7.1,,4 - Reliable,37.9,,4 - Reliable,20.1,,4 - Reliable,95,,4 - Reliable,Asset inspections,,4 - Reliable,10,,4 - Reliable,3901957.105,,16183,,5 - Highly Reliable,Yes,,4 - Reliable,Geospatial Information system,,4 - Reliable
ACC-00008542,Kawerau District Council,2,,55,,0,,0,,97,,0,,0,,,1,,,2740,,0,,0,,200,,0,,0,,,3,,0,,0,,0,,0,,0,,Both,,No,,Measure Not Applicable,,0,,,5,,1,,Suspend consent until conditions were met,,,0.3,,2.3,,,0,,0,,,100,,,Asset management information system,,,0,,,51,,,2,,,100,,,Asset inspections,,,0,,,307527,,0,,,Yes,,,Asset Management plan,,
ACC-00008572,Mackenzie District Council,6,,111,,16,,0,,190,,0,,0,,,4,,,3287,,410,,0,,,Data Not Available,0,,0,,,1,,0,,0,,0,,0,,0,,Both,,No,,,Data Not Available,0,,,,,,,,,,4.79,,8.49,,,,Data Not Available,30,,,85,,,Asset management information system,,,1,,,30,,,3,,,100,,,Asset management information system,,,0,,,267978,,,,,No,,,,,
ACC-00007492,Manawatu District Council,265,,231,,36,,0,,0,,0,,0,,4 - Reliable,7,,5 - Highly Reliable,7472,,510,,0,,1942,,19,,0,,4 - Reliable,4,,1,,2,,0,,0,,2,,Both,,Yes,,SCADA,,1,,4 - Reliable,13,,147,,"Meetings to discuss improvements, education, re-inspections and formal warnings.",,4 - Reliable,15,,35,,4 - Reliable,0,Data Not Available,2,,4 - Reliable,99,,4 - Reliable,Desktop assessment,,4 - Reliable,16,,4 - Reliable,34,,4 - Reliable,6,,4 - Reliable,100,,4 - Reliable,Desktop assessment,,4 - Reliable,25,,4 - Reliable,2054294,,0,,4 - Reliable,Yes,,5 - Highly Reliable,Internal criticality assesment framework,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,77,,258,,66,,0,,523,,0,,0,,,5,,,12770,,267,,0,,1098,,44,,0,,,7,,4,,4,,0,,0,,0,,Both,,Yes,,Calibrated hydraulic models,,0,,,521,,0,,-,,,1,,6,,,46,,3,,,45,,,Asset management information system,,,1,,,36,,,5,,,42,,,Asset management information system,,,1,,,6682407,,0,,,Yes,,,Asset management information system,,
ACC-00001026,Masterton District Council,36,,289,,0,,0,,0,,0,,0,,,4,,,9436,,0,,0,,48,,0,,0,,,9,,2,,2,,0,,0,,7,,Both,,No,,Data Not Available,,0,,,139,,,Data Not Available,,Data Not Available,,0.42,,2.02,,,1,,0,,,100,,,Desktop assessment,,,39,,,36,Data Not Available,,,Data Not Available,,0,,,,,,,Data Not Available,,538894,,0,,,Yes,,,Desktop assessment,,
ACC-00008512,Matamata Piako District Council,46,,285.81,,29,,0,,0,,0,,0,,3 - Less Reliable,4,,5 - Highly Reliable,6249,,,Measure Not Applicable,,Measure Not Applicable,,Data Not Available,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,6,,1,,17,,,Measure Not Applicable,0,,2,,Both,,Yes,,Calibrated hydraulic models,,0,,3 - Less Reliable,189,,16,,"All customers are notified of their breach. For high risk breaches the team follows up within 1 working day, medium risk breaches 3 working days and low risk breaches 5 working days.",,5 - Highly Reliable,1,,3,,3 - Less Reliable,0,,1,,5 - Highly Reliable,98,,4 - Reliable,,,2 - Uncertain,3,,4 - Reliable,35,,4 - Reliable,4,,4 - Reliable,100,,4 - Reliable,,,2 - Uncertain,0,,4 - Reliable,3850390.43,,,Data Not Available,5 - Highly Reliable,Yes,,4 - Reliable,Geospatial Information system,,4 - Reliable
ACC-00008588,Ministry of Education,,Measure Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC-00001141,Napier City Council,50,,336.39,,60.35,,0,,653,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,1,,5 - Highly Reliable,22965,,129,,0,,1476,,0,,0,,4 - Reliable,33,,0,,1,,,Measure Not Applicable,5,,1,,Both,,Yes,,Data Not Available,,0,,3 - Less Reliable,58,,83,,see additional comments section below,,4 - Reliable,0.48,,1.88,,4 - Reliable,0,,0,,4 - Reliable,100,,2 - Uncertain,Renewals model,,4 - Reliable,42,,3 - Less Reliable,55,,4 - Reliable,,Data Not Available,4 - Reliable,94,,4 - Reliable,Asset inspections,,4 - Reliable,12,,4 - Reliable,2259957,,0,Measure Not Applicable,4 - Reliable,Yes,,4 - Reliable,Internal criticality assesment framework,,5 - Highly Reliable
ACC-00008541,Nelson City Council,33,,389,,49,,0,,0,,6855260,,0,,5 - Highly Reliable,2,,5 - Highly Reliable,22152,,0,,0,,2086,,7,,0,,4 - Reliable,117,,5,,10,,0,,1,,39,,Both,,Yes,,Other (Please identify in the comments section),,0,,4 - Reliable,197,,44,,"NCC: Businesses breached trade waste consents or permits and were asked to explain and fix the issue. NCC may disconnect long-term non-compliant businesses due to limited enforcement options.
NRSBU: None of the breaches have caused any issues with the operation of the NRSS",,4 - Reliable,0.3,,3.12,,4 - Reliable,1,,0,,4 - Reliable,92,,4 - Reliable,Other (Please identify in the comments section),,4 - Reliable,37,,4 - Reliable,42,,4 - Reliable,4,,4 - Reliable,85,,4 - Reliable,Other (Please identify in the comments section),,4 - Reliable,8,,2 - Uncertain,6289769,,2689,,4 - Reliable,Yes,,5 - Highly Reliable,Other (Please identify in the comments section),,5 - Highly Reliable
ACC-00008525,New Plymouth District Council,34,,595.373,,75.1,,0,,0,,0,,0,,4 - Reliable,1,,5 - Highly Reliable,26011,,442,,0,,1700,,0,Data Not Available,0,,4 - Reliable,45,,1,,4,,0,,0,,67,,Both,,Yes,,SCADA,,0,,4 - Reliable,112,,12,,"notice to terminate one consent, tighter controls, collaborative approach to become compliant (most are ninor breaches)",,5 - Highly Reliable,0.53,,1.88,,4 - Reliable,2,,13,,4 - Reliable,88,,4 - Reliable,Renewals model,,4 - Reliable,13,,4 - Reliable,49.661,,4 - Reliable,5,,4 - Reliable,78.26086957,,2 - Uncertain,Desktop assessment,,4 - Reliable,14.81481481,,2 - Uncertain,5041856,,20666,,4 - Reliable,Yes,,5 - Highly Reliable,Asset Management plan,,5 - Highly Reliable
ACC-00001000,New Zealand Defence Force,8,,25.57,,2.01,,0,,0,,25140.1,,0,,4 - Reliable,2,,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,0,,0,,0,,0,,0,,,Measure Not Applicable,Written,,No,,,Measure Not Applicable,0,,2 - Uncertain,0,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,,Data Not Available,,Data Not Available,4 - Reliable,,Data Not Available,,Data Not Available,4 - Reliable,98,,4 - Reliable,Desktop assessment,,4 - Reliable,59,,4 - Reliable,76,,4 - Reliable,0,,4 - Reliable,,Not available,4 - Reliable,,Not available,4 - Reliable,,Not available,4 - Reliable,,Not available,,Not available,4 - Reliable,No,,4 - Reliable,,Measure Not Applicable,4 - Reliable
ACC-00008500,Opotiki District Council,9,,46,,11,,0,,75,,0,,0,,4 - Reliable,2,,4 - Reliable,1851,,0,,0,,244,,0,,0,,4 - Reliable,2,,0,,4,,7,,0,,8,,Both,,No,,,,0,,4 - Reliable,0,Measure Not Applicable,,Measure Not Applicable,,,5 - Highly Reliable,0.366666667,,2.9,,5 - Highly Reliable,0,,1,,5 - Highly Reliable,13,,4 - Reliable,Asset management information system,,4 - Reliable,5,,4 - Reliable,20,,4 - Reliable,0,,5 - Highly Reliable,79,,4 - Reliable,Asset management information system,,4 - Reliable,10,,4 - Reliable,,Data Not Available,0,Data Not Available,4 - Reliable,Yes,,4 - Reliable,Internal criticality assesment framework,,4 - Reliable
ACC-00008562,Otorohanga District Council,13,,51,,4,,0,,0,,1631.43,,0,,5 - Highly Reliable,1,,5 - Highly Reliable,1384,,0,,0,,241,,0,,0,,5 - Highly Reliable,8,,2,,0,,0,,2,,2,,Written,,No,,Data Not Available,,0,,5 - Highly Reliable,48,,0,,,,5 - Highly Reliable,4.33,,12.6,,5 - Highly Reliable,0,,14,,5 - Highly Reliable,80,,5 - Highly Reliable,Desktop assessment,,4 - Reliable,29,,5 - Highly Reliable,31,,5 - Highly Reliable,6,,5 - Highly Reliable,0,,5 - Highly Reliable,,,5 - Highly Reliable,0,,5 - Highly Reliable,171044,,0,,5 - Highly Reliable,Yes,,5 - Highly Reliable,Desktop assessment,,4 - Reliable
ACC-00008549,Palmerston North City Council,44,,658,,40,,0,,0,,0,,0,,5 - Highly Reliable,1,,5 - Highly Reliable,31578,,131,,0,,2181,,0,,0,,5 - Highly Reliable,168,,,Data Not Available,,Data Not Available,0,,,Data Not Available,,Data Not Available,Verbal,,No,,Measure Not Applicable,,0,,3 - Less Reliable,506,,141,,"Formal notice to produce a plan to achieve requirements - 2 customers, change of consent type and penalties applied - 1 customer, warning of penalties - 1 customer, engagment on plan to reduce load - 1 customer",,5 - Highly Reliable,0.5,,3.93,,5 - Highly Reliable,0,,168,,5 - Highly Reliable,0,,5 - Highly Reliable,Asset inspections,,5 - Highly Reliable,0,,5 - Highly Reliable,48,,5 - Highly Reliable,5,,5 - Highly Reliable,59,,5 - Highly Reliable,Asset inspections,,5 - Highly Reliable,1,,5 - Highly Reliable,2996910,,0,,5 - Highly Reliable,Yes,,5 - Highly Reliable,Geospatial Information system,,5 - Highly Reliable
ACC-00001187,Papakura,39,,369,,29,,0,,0,,0,,5260683,,4 - Reliable,0,,5 - Highly Reliable,23145,,476,,0,,1338,,1,,0,,4 - Reliable,31,,0,,4,,,Measure Not Applicable,0,,29,,Both,,Yes,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,0.35,,3.1,,4 - Reliable,0,,0,,4 - Reliable,100,,4 - Reliable,Other (Please identify in the comments section),,4 - Reliable,9,,4 - Reliable,34,,4 - Reliable,54,,4 - Reliable,100,,4 - Reliable,Asset inspections,,4 - Reliable,2,,4 - Reliable,187034,,0,,4 - Reliable,Yes,,4 - Reliable,Internal criticality assesment framework,,4 - Reliable
ACC-00008584,Queenstown Lakes District Council,73,,550,,86,,0,,0,,0,,0,,4 - Reliable,4,,5 - Highly Reliable,17013,,220,,0,,866,,0,,0,,3 - Less Reliable,37,,5,,44,,0,,9,,1,,Both,,No,,Measure Not Applicable,,0,,5 - Highly Reliable,543,,0,,No breaches for reporting period,,5 - Highly Reliable,1,,2,,5 - Highly Reliable,55,,15,,5 - Highly Reliable,100,,5 - Highly Reliable,Desktop assessment,,5 - Highly Reliable,14,,5 - Highly Reliable,23,,5 - Highly Reliable,11,,5 - Highly Reliable,100,,5 - Highly Reliable,Asset management information system,,5 - Highly Reliable,0,,3 - Less Reliable,7161264,,0,,5 - Highly Reliable,Yes,,5 - Highly Reliable,Internal criticality assesment framework,,5 - Highly Reliable
ACC-00007503,Rangitikei District Council,8,,100,,8,,0,,148,,0,,0,,,7,,,7218,,0,,0,,7218,,0,,0,,,0,,0,,0,,0,,0,,0,,Written,,No,,Data Not Available,,0,,,0,,0,,,,,0.8,,3.4,,,0,,0,,,89,,,Other (Please identify in the comments section),,,4,,,53,,,10,,,100,,,Other (Please identify in the comments section),,,0,,,858610,,0,,,Yes,,,Other (Please identify in the comments section),,
ACC-00008544,Rotorua Lakes Council,80,,573,,238,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,2,,,21702,,2199,,,Measure Not Applicable,435,,61,,,Measure Not Applicable,,47,,34,,14,,,Measure Not Applicable,14,,28,,Both,,No,,Data Not Available,,0,,,528,,2,,Owner notified of breach and actions to be taken by them,,,1,,1,,,1000,,6,,,100,,,Desktop assessment,,,39,,,31,,,13,,,,Data Not Available,,,Data Not Available,,,Data Not Available,,9440127,,69,,,Yes,,,Internal criticality assesment framework,,
ACC-00008524,Ruapehu District Council,18,,126,,0,,0,,0,,0,Measure Not Applicable,0,Measure Not Applicable,4 - Reliable,6,,4 - Reliable,4317,,0,,0,,645,,0,,0,,4 - Reliable,6,,0,,0,,0,,0,,4,,Both,,No,,Other (Please identify in the comments section),,0,,4 - Reliable,1,,0,,No Breaches,,5 - Highly Reliable,1,,3,,5 - Highly Reliable,0,,0,,4 - Reliable,26,,4 - Reliable,Desktop assessment,,4 - Reliable,0,,4 - Reliable,54,,4 - Reliable,0,,4 - Reliable,50,,4 - Reliable,Asset inspections,,4 - Reliable,0,,4 - Reliable,1323240,,0,Data Not Available,5 - Highly Reliable,Yes,,4 - Reliable,Internal criticality assesment framework,,4 - Reliable
ACC-00001006,Selwyn District Council,63,,552,,171,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,72456,,5 - Highly Reliable,7,,5 - Highly Reliable,21649,,465,,,Measure Not Applicable,723,,12,,,Measure Not Applicable,4 - Reliable,1,,2,,5,,,Measure Not Applicable,1,,5,,Both,,No,,Hydraulic models,,0,,5 - Highly Reliable,51,,0,,,Measure Not Applicable,4 - Reliable,0.94,,23.97,,5 - Highly Reliable,0,,0,,3 - Less Reliable,98,,4 - Reliable,Desktop assessment,,4 - Reliable,3,,4 - Reliable,15,,4 - Reliable,21,,3 - Less Reliable,72,,4 - Reliable,Asset inspections,,4 - Reliable,0,,4 - Reliable,7108868,,121,,4 - Reliable,Yes,,5 - Highly Reliable,Internal criticality assesment framework,,5 - Highly Reliable
ACC-00008521,South Taranaki District Council,40,,194,,9,,0,,0,,0,,0,,5 - Highly Reliable,8,,5 - Highly Reliable,8298,,0,,0,,1235,,1,,0,,4 - Reliable,0,,0,,0,,0,,0,,0,,Both,,Yes,,SCADA,,0,,5 - Highly Reliable,128,,1,,"Inspections, notifications and follow-ups",,5 - Highly Reliable,71,,185,,4 - Reliable,218,,16,,4 - Reliable,41,,4 - Reliable,Asset inspections,,4 - Reliable,35,,4 - Reliable,54,,4 - Reliable,41,,4 - Reliable,100,,4 - Reliable,Desktop assessment,,4 - Reliable,5,,4 - Reliable,1401620,,0,,5 - Highly Reliable,Yes,,4 - Reliable,Desktop assessment,,4 - Reliable
ACC-00008568,South Waikato District Council,17,,162,,7,,0,,0,,0,,0,,,4,,,7808,,0,,0,,200,,,Data Not Available,0,,,9,,2,,0,,0,,0,,0,,Both,,Yes,,Other (Please identify in the comments section),,0,,,123,,1,,A formal letter was sent coupled with meetings and e-mails.,,,1,,1,,,60,,2,,,,Data Not Available,,Asset management information system,,,,Data Not Available,,55,,,10,,,20,,,Asset management information system,,,,Data Not Available,,2406894,,253285.8,,,Yes,,,Asset management information system,,
ACC-00001109,South Wairarapa District Council,13,,110,,3,,0,,0,,0,,0,,3 - Less Reliable,4,,3 - Less Reliable,4122,,0,,0,,484,,0,,0,,3 - Less Reliable,7,,0,,3,,0,,0,,0,,Both,,Yes,,Data Not Available,,0,,3 - Less Reliable,0,,0,,0,,3 - Less Reliable,1,,4.6,,3 - Less Reliable,0,,0,,3 - Less Reliable,97,,3 - Less Reliable,Asset management information system,,3 - Less Reliable,19,,3 - Less Reliable,36,,3 - Less Reliable,0,,3 - Less Reliable,0,,3 - Less Reliable,Asset management information system,,3 - Less Reliable,0,,3 - Less Reliable,0,,0,,3 - Less Reliable,Yes,,3 - Less Reliable,,,3 - Less Reliable
ACC-00001119,Southland District Council,66,,200,,0,,83,,0,,0,,38865,,4 - Reliable,20,,5 - Highly Reliable,7779,,0,,0,,0,,0,,0,,4 - Reliable,2,,0,,1,,0,,0,,0,,Both,,No,,Measure Not Applicable,,0,,4 - Reliable,0,,0,,No breaches as there are no trade waste consents-holder,,5 - Highly Reliable,0.87,,3.8,,5 - Highly Reliable,0,,0,,5 - Highly Reliable,0,,5 - Highly Reliable,Asset inspections,,5 - Highly Reliable,38,,5 - Highly Reliable,55,,5 - Highly Reliable,2,,5 - Highly Reliable,0,,5 - Highly Reliable,Asset management information system,,5 - Highly Reliable,10,,5 - Highly Reliable,1449726,,0,Measure Not Applicable,5 - Highly Reliable,Yes,,5 - Highly Reliable,Desktop assessment,,5 - Highly Reliable
ACC-00008528,Stratford District Council,4,,63,,2,,0,,0,,0,,0,,,1,,,2427,,0,,0,,285,,1,,0,,,2,,0,,0,,0,,0,,5,,Written,,No,,Measure Not Applicable,,0,,,12,,0,,,,,1,,2,,,,,2,,,100,,,Asset management information system,,,44,,,50,,,,,,100,,,Asset management information system,,,,,,150623,,0,,,Yes,,,Asset management information system,,
ACC-00008574,Tararua District Council,22,,95,,7,,,Measure Not Applicable,128,,,Measure Not Applicable,,Measure Not Applicable,,7,,,4386,,326,,,Measure Not Applicable,758,,4,,,Measure Not Applicable,,10,,3,,11,,11,,2,,4,,Both,,Yes,,SCADA,,0,,,2,,0,Data Not Available,,Measure Not Applicable,,1,,2,,,0,,0,,,61,,,Asset inspections,,,20,,,50,,,8,,,0,,,,,,,Measure Not Applicable,,,Data Not Available,,Measure Not Applicable,,Yes,,,Asset Management plan,,
ACC-00008530,Tasman District Council,1397,,303,,117,,0,,0,,0,,0,,4 - Reliable,7,,5 - Highly Reliable,13292,,1267,,0,,927,,42,,0,,4 - Reliable,17,,11,,9,,0,,0,,7,,Both,,Yes,,SCADA,,0,,3 - Less Reliable,18,,4,,No enforcement actions are taken.,,4 - Reliable,1,,3,,4 - Reliable,0,,1,,4 - Reliable,99,,5 - Highly Reliable,Desktop assessment,,5 - Highly Reliable,4,,3 - Less Reliable,29,,4 - Reliable,1,,3 - Less Reliable,36,,4 - Reliable,Asset inspections,,4 - Reliable,3,,1 - Very Uncertain,1708671,,121,,5 - Highly Reliable,No,,5 - Highly Reliable,,,1 - Very Uncertain
ACC-00001011,Taupo District Council,116,,455,,186,,0,,0,,0,,0,,,11,,,17111,,25,,0,,1505,,0,,0,,,56,,0,,1,,0,,0,,,Data Not Available,Both,,No,,Data Not Available,,0,,,263,,8,,"All breaches were followed up within timeframes. Low risk breaches were all followed up within 5 working days, medium risk breaches followed up within 3 working days and high risk 1 working day.",,,,Data Not Available,,Data Not Available,,,,,Data Not Available,,100,,,Asset management information system,,,3,,,28,,,14,,,94,,,Asset inspections,,,2,,,5344425,,,Data Not Available,,Yes,,,Geospatial Information system,,
ACC-00008507,Tauranga City Council,288,,1174,,126,,0,,0,,419560,,0,,4 - Reliable,2,,5 - Highly Reliable,53952,,,Data Not Available,0,,3913,,,Data Not Available,0,,3 - Less Reliable,179,,0,,0,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,Both,,No,,Measure Not Applicable,,0,,4 - Reliable,41,,131,,Non-compliance fee charged for each breach. TW licence conditions & Trade Waste Management plans reviewed,,4 - Reliable,0.483333333,,2.55,,5 - Highly Reliable,,Measure Not Applicable,9,,3 - Less Reliable,100,,4 - Reliable,Desktop assessment,,4 - Reliable,15,,3 - Less Reliable,30,,4 - Reliable,5,,4 - Reliable,,Data Not Available,2 - Uncertain,Data Not Available,,2 - Uncertain,,Data Not Available,2 - Uncertain,6305986,,123,,5 - Highly Reliable,Yes,,4 - Reliable,Internal criticality assesment framework,,4 - Reliable
ACC-00001125,Thames Coromandel District Council,131,,355,,77,,,Measure Not Applicable,757,,,Measure Not Applicable,,Measure Not Applicable,,11,,,19311,,309,,,Measure Not Applicable,1004,,,Measure Not Applicable,,Measure Not Applicable,,19,,3,,,Measure Not Applicable,,Measure Not Applicable,8,,12,,Both,,No,,Data Not Available,Data Not Available,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,0.38,,3.23,,,16,,2,,,94,,,Desktop assessment,,,0,,,37,,,3,,,100,,,Asset inspections,,,2,,,5171021,,,Data Not Available,,Yes,,,Asset Management plan,,
ACC-00008504,Timaru District Council,24,,427,,158,,0,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,,1,,,15296,,115,,0,,1107,,1,,0,Measure Not Applicable,,12,,0,,5,,0,,0,,0,,Both,,Yes,,SCADA,,0,,,300,,220,,advice for detailed investigation reports and improvement plans for those trade waste dischargers breaching their consents.,,,0.11,,1,,,0,,11,,,74,,,Asset management information system,,,20,,,60,,,9,,,100,,,Asset management information system,,,10,,,1386817,,406,,,Yes,,,Asset management information system,,
