Account ID,Org Name,W-A1 Number of wastewater pump stations,W-A1 Reason not available,W-A2.1 Total length of gravity wastewater pipes (km),W-A2.1 Reason not available,W-A2.2 Total length of pressured wastewater pipes (km),W-A2.2 Reason not available,W-A2.3 Total length of vacuum wastewater pipes (km),W-A2.3 Reason not available,W-A3 Total length of combined WW and SW pipes (km),W-A3 Reason not available,W-A4 Wastewater imported for treatment (m3/year),W-A4 Reason not available,W-A5 Wastewater exported for treatment (m3/year),W-A5 Reason not available,W-A1 to W-A5 Data confidence,W-A6 Number of wastewater treatment plants,W-A6 Reason not available,W-A6 Data confidence,W-EH1.1 Residential connections to gravity sewers,W-EH1.1 Reason not available,W-EH1.2 Residential connections to pressure sewers,W-EH1.2 Reason not available,W-EH1.3 Residential connections to vacuum sewers,W-EH1.3 Reason not available,W-EH2.1 Non-residential connections to gravity sewers,W-EH2.1 Reason not available,W-EH2.2 Non-residential connections to pressure sewers,W-EH2.2 Reason not available,W-EH2.3 Non-residential connections to vacuum sewers,W-EH2.3 Reason not available,W-EH1.1 to W-EH2.3 Data confidence,W-EH10 Number of overflows caused by blockages,W-EH10 Reason not available,W-EH11 Number of overflows caused by plant failure or equipment damage,W-EH11 Reason not available,W-EH12 Number of overflows caused by capacity exceeded (WW network),W-EH12 Reason not available,W-EH13 Number of overflows caused by capacity exceeded (combined WW/SW),W-EH13 Reason not available,W-EH14 Number of overflows from other causes,W-EH14 Reason not available,W-EH15 Number of overflows on private properties attributable to provider,W-EH15 Reason not available,W-EH16 How are overflows reported to the network operator?,W-EH16 Reason not available,W-EH17 Are overflows recorded through SCADA?,W-EH17 Reason not available,W-EH18 What methodology is used for calculating overflows?,W-EH18 Reason not available,W-EH19 Number of hours WWTP processes fully bypassed (hours),W-EH19 Reason not available,W-EH10 to W-EH19 Data confidence,W-EH23 Number of trade waste consents,W-EH23 Reason not available,W-EH24 Number of times trade waste consents breached,W-EH24 Reason not available,W-EH25 Actions taken due to trade waste consent breaches,W-EH25 Reason not available,W-EH23 to W-EH25 Data confidence,W-R1 Median time to attend to a fault (hours),W-R1 Reason not available,W-R2 Median time to resolve a fault (hours),W-R2 Reason not available,W-R1 to W-R2 Data confidence,W-R7 Number of planned maintenance activities,W-R7 Reason not available,W-R8 Number of third-party incidents,W-R8 Reason not available,W-R7 to W-R8 Data confidence,W-R9.1 % of WW pipes with condition grading,W-R9.1 Reason not available,W-R9.1 Data confidence,W-R9.2 WW pipe condition grading methodology,W-R9.2 Reason not available,W-R9.2 Data confidence,W-R10 % WW pipes in poor or very poor condition,W-R10 Reason not available,W-R10 Data confidence,W-R11 Average age of wastewater pipes (years),W-R11 Reason not available,W-R11 Data confidence,W-R12 % WW pipes with CCTV inspections in last 5 years,W-R12 Reason not available,W-R12 Data confidence,W-R13.1 % above-ground assets with condition grading,W-R13.1 Reason not available,W-R13.1 Data confidence,W-R13.2 Above-ground asset grading methodology,W-R13.2 Reason not available,W-R13.2 Data confidence,W-R14 % above-ground assets in poor or very poor condition,W-R14 Reason not available,W-R14 Data confidence,W-RE1 Grid electricity use (kWh),W-RE1 Reason not available,W-RE2 Energy use from other fuels (GJ),W-RE2 Reason not available,W-RE1 to W-RE2 Data confidence,W-RL1.1 Critical wastewater assets assessment undertaken?,W-RL1.1 Reason not available,W-RL1.1 Data confidence,W-RL1.2 Criticality methodology,W-RL1.2 Reason not available,W-RL1.2 Data confidence
ACC-00006269,Department of Corrections,2,,10,,3,,0,,0,,0,,0,,3 - Less Reliable,1,,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,0,,0,,0,,0,,0,,,Measure Not Applicable,Written,,No,,Measure Not Applicable,,0,,2 - Uncertain,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,24,,120,,2 - Uncertain,,Data Not Available,0,,2 - Uncertain,100,,2 - Uncertain,Asset management information system,,2 - Uncertain,4,,2 - Uncertain,59,,1 - Very Uncertain,,Data Not Available,2 - Uncertain,100,,2 - Uncertain,Other (Please identify in the comments section),,2 - Uncertain,4,,2 - Uncertain,,Data Not Available,0,Data Not Available,2 - Uncertain,Yes,,3 - Less Reliable,Desktop assessment,,3 - Less Reliable
ACC-00008513,Dunedin City Council,80,,818,,110,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,7,,5 - Highly Reliable,45472,,,Measure Not Applicable,,Measure Not Applicable,3016,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,50,,2,,54,,,Measure Not Applicable,,Data Not Available,,Data Not Available,Both,,Yes,,Calibrated hydraulic models,,,Measure Not Applicable,3 - Less Reliable,626,,,Data Not Available,"Communications with Customer, extra lab sampling completed, Ideas, increased charging from extra strength",,3 - Less Reliable,0.65,,0.96,,4 - Reliable,66,,2,,4 - Reliable,100,,4 - Reliable,Desktop assessment,,4 - Reliable,28,,4 - Reliable,63,,4 - Reliable,16,,4 - Reliable,100,,4 - Reliable,Desktop assessment,,4 - Reliable,42,,4 - Reliable,10444521,,8791,,5 - Highly Reliable,Yes,,4 - Reliable,Other (Please identify in the comments section),,4 - Reliable
ACC-00008510,Far North District Council,201,,292,,154,,0,,0,,0,Measure Not Applicable,0,Measure Not Applicable,,9,,,11663,,0,Data Not Available,0,Data Not Available,0,Data Not Available,0,Data Not Available,0,Data Not Available,,0,Data Not Available,0,Data Not Available,0,Data Not Available,0,Data Not Available,0,Data Not Available,0,Data Not Available,Both,,No,,Measure Not Applicable,,0,Data Not Available,,0,Data Not Available,0,Measure Not Applicable,0,Data Not Available,,0,Measure Not Applicable,0,Measure Not Applicable,,0,Measure Not Applicable,0,Measure Not Applicable,,0,Measure Not Applicable,,Asset inspections,Measure Not Applicable,,,Measure Not Applicable,,,Data Not Available,,0,Data Not Available,,0,Data Not Available,,Asset inspections,Data Not Available,,0,Data Not Available,,0,Data Not Available,0,Data Not Available,,Yes,,,Asset Management plan,,
ACC-00001008,Gisborne District Council,46,,330,,,Data Not Available,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,2,,5 - Highly Reliable,11238,,,Data Not Available,,Measure Not Applicable,944,,,Data Not Available,,Measure Not Applicable,4 - Reliable,11,,1,,30,,,Measure Not Applicable,0,,,Data Not Available,Both,,No,,,Measure Not Applicable,0,,4 - Reliable,167,,20,,"Letters, Site visits",,3 - Less Reliable,0.69,,2.35,,5 - Highly Reliable,,Data Not Available,,Data Not Available,5 - Highly Reliable,100,,4 - Reliable,Desktop assessment,,5 - Highly Reliable,30,,5 - Highly Reliable,58,,5 - Highly Reliable,,Data Not Available,5 - Highly Reliable,,Data Not Available,5 - Highly Reliable,,Data Not Available,5 - Highly Reliable,,Data Not Available,5 - Highly Reliable,2216921,,,Data Not Available,5 - Highly Reliable,Yes,,5 - Highly Reliable,Desktop assessment,,5 - Highly Reliable
ACC-00008531,Gore District Council,15,,121,,6,,0,,44,,0,,0,,,3,,,3585,,0,,0,,1156,,0,,0,,,2,,0,,1,,0,,0,,1,,Both,,No,,Measure Not Applicable,,0,,,80,,40,,Surcharge on TW fees or user pays,,,0.33,,1.5,,,0,,0,,,86,,,Asset inspections,,,32,,,51,,,14,,,0,,,,,,0,,,1037252,,,Data Not Available,,Yes,,,Internal criticality assesment framework,,
ACC-00001018,Greater Wellington Regional Council,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,,Measure Not Applicable,
ACC-00001015,Grey District Council,52,,118,,27,,0,,,Data Not Available,0,,0,,,7,,,4486,,11,,0,,499,,4,,0,,,,Data Not Available,1,,1,,3,,0,,0,,Both,,Yes,,Measure Not Applicable,,0,,,1,,0,,Nil Breaches.,,,1,,5,,,,Data Not Available,,Data Not Available,,100,,,Asset management information system,,,12,,,27,,,15,,,100,,,Asset inspections,,,25,,,,Data Not Available,0,,,Yes,,,Other (Please identify in the comments section),,
ACC-00001003,Hamilton City Council,136,,864,,53,,,Measure Not Applicable,,Measure Not Applicable,0,,,Measure Not Applicable,4 - Reliable,1,,5 - Highly Reliable,55234,,64,,0,,5117,,17,,0,,4 - Reliable,125,,2,,17,,0,Measure Not Applicable,53,,21,,Both,,Yes,,Other (Please identify in the comments section),,0,,4 - Reliable,1369,,161,,Breaches are followed up within an appropriate timeframe.,,4 - Reliable,0.56,,3,,4 - Reliable,0,,0,,4 - Reliable,12,,3 - Less Reliable,Asset inspections,,4 - Reliable,11,,3 - Less Reliable,31,,4 - Reliable,1,,3 - Less Reliable,90,,3 - Less Reliable,Asset inspections,,4 - Reliable,11,,3 - Less Reliable,11051870,,15286,,4 - Reliable,Yes,,5 - Highly Reliable,Internal criticality assesment framework,,5 - Highly Reliable
ACC-00008532,Hastings District Council,51,,390,,40,,0,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,5 - Highly Reliable,2,,5 - Highly Reliable,17413,,201,,0,Measure Not Applicable,2166,,54,,0,Measure Not Applicable,3 - Less Reliable,59,,1,,1,,0,Measure Not Applicable,1,,36,,Both,,No,,Measure Not Applicable,Measure Not Applicable,0,Measure Not Applicable,3 - Less Reliable,0,,10,,Warning notices issued See comments for details,Measure Not Applicable,4 - Reliable,0.733,,2.4,,4 - Reliable,0,,3,,3 - Less Reliable,100,,5 - Highly Reliable,Renewals model,,5 - Highly Reliable,13,,3 - Less Reliable,44,,4 - Reliable,5,,4 - Reliable,90,,4 - Reliable,Asset inspections,,5 - Highly Reliable,5,,3 - Less Reliable,4431605,,0,Data Not Available,5 - Highly Reliable,Yes,,5 - Highly Reliable,Asset management information system,,5 - Highly Reliable
ACC-00008587,Hauraki District Council,48,,140,,41,,0,,0,,0,,0,,4 - Reliable,7,,5 - Highly Reliable,6370,,0,,0,,870,,0,,0,,5 - Highly Reliable,6,,3,,0,,0,,0,,0,,Both,,No,,Data Not Available,,0,,4 - Reliable,3,,,Measure Not Applicable,No formal actions taken,,4 - Reliable,0.88,,3.9,,5 - Highly Reliable,0,,5,,5 - Highly Reliable,3,,3 - Less Reliable,Asset inspections,,4 - Reliable,0,,3 - Less Reliable,33,,4 - Reliable,3,,5 - Highly Reliable,2,,5 - Highly Reliable,Asset inspections,,4 - Reliable,55,,3 - Less Reliable,1269643.763,,0,,5 - Highly Reliable,Yes,,5 - Highly Reliable,Asset Management plan,,5 - Highly Reliable
