Account ID,Org Name,Wastewater network ID,Wastewater network/plant name,W-A2 Total length of wastewater pipes (km),W-A2 Reason not available,W-A2 Data confidence,W-A7 Wastewater treatment processes - highest level,W-A8 Receiving environment for treated wastewater,W-A9 Volume of wastewater treated at treatment plant (m3/year),W-A9 Reason not available,W-A9.1 Average nominal flows (L/s),W-A9.1 Reason not available,W-A9.2 Average peak flows (L/s),W-A9.2 Reason not available,W-A9.3 Reason for peak flow,W-A10 Volume of trade waste treated (m3/year),W-A10 Reason not available,W-A11 Volume of septage imported for treatment (m3/year),W-A11 Reason not available,W-A12 Volume of treated wastewater applied to land (m3/year),W-A12 Reason not available,W-A7 to W-A12 Data confidence,W-EH1 Number of residential connections,W-EH1 Reason not available,W-EH1 Method of determining connections,W-EH2 Number of non-residential connections,W-EH2 Reason not available,W-EH2 Method of determining connections,W-EH3 Total population served by the wastewater network,W-EH3 Reason not available,W-EH1 to W-EH3 Data confidence,W-EH4 Number of resource consents held for WW network,W-EH4 Reason not available,W-EH9 WW overflow regulation approach under local regional plan,W-EH9 Comments,W-EH4 to W-EH9 Data confidence,W-EH20 WWTP peak flow to nominal flow ratio,W-EH20 Reason not available,W-EH21 Design standards for calculating WW overflow capacity,W-EH21 Comments,W-EH22 Levels of service for preventing WW overflows due to stormwater (%),W-EH22 Comments,W-EH21 to W-EH23 Data confidence,W-RE3 Wastewater treatment wetland emissions (tCO2e/year),W-RE3 Reason not available,W-RE4 Wastewater effluent disposal emissions (tCO2e/year),W-RE4 Reason not available,W-RE5 Wastewater sludge treatment emissions (tCO2e/year),W-RE5 Reason not available,W-RE6 Wastewater sludge disposal emissions (tCO2e/year),W-RE6 Reason not available,W-RE3 to W-RE6 Data confidence,W-RE7 Production of biosolids (m3),W-RE7 Reason not available,W-RE8 % of dry solids in biosolids,W-RE8 Reason not available,W-RE9 % disposal of biosolids to onsite stockpile,W-RE9 Reason not available,W-RE10 Disposal of biosolids to landfill (tonnes),W-RE10 Reason not available,W-RE11 Disposal of biosolids composting and reuse (tonnes),W-RE11 Reason not available,W-RE11 Biosolids reuse - how and where,W-RE12 Disposal of biosolids to other routes (tonnes),W-RE12 Reason not available,W-RE13 Last year plant or pond was desludged (yyyy),W-RE13 Reason not available,W-RE7 to W-RE13 Data confidence
ACC-00008520,Marlborough District Council,,Havelock,12,,4 - Reliable,Secondary,River,152967,,2,,17,,Significant Weather Events,,Data Not Available,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,252,,Number of connections known,44,,Number of metered connections,600,,4 - Reliable,1,,Prohibited activity under regional plan,,5 - Highly Reliable,8.5,,Other (Please identify in the comments section),AEP of 10% (pre climate change) ie 10yr ARI,ARI based on HIRD,,4 - Reliable,,Measure Not Applicable,,Data Not Available,,Data Not Available,,Data Not Available,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,2002,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,,Picton,71,,4 - Reliable,Tertiary,Marine,975876,,22,,99,,Significant Weather Events,,Data Not Available,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,1679,,Number of connections known,167,,Number of metered connections,3967,,4 - Reliable,3,,Prohibited activity under regional plan,,5 - Highly Reliable,4.5,,Other (Please identify in the comments section),AEP of 10% (pre climate change) ie 10yr ARI,ARI based on HIRD,,4 - Reliable,,Measure Not Applicable,,Data Not Available,,Data Not Available,,Data Not Available,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,2024,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,,Seddon,10,,4 - Reliable,Secondary,River,96469,,1,,10,,Significant Weather Events,,Data Not Available,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,267,,Number of connections known,17,,Number of metered connections,588,,4 - Reliable,1,,Prohibited activity under regional plan,,5 - Highly Reliable,10,,Other (Please identify in the comments section),AEP of 10% (pre climate change) ie 10yr ARI,ARI based on HIRD,,4 - Reliable,,Measure Not Applicable,,Data Not Available,,Data Not Available,,Data Not Available,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,2019,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,,Renwick- Via Blenheim WWTP,29,,4 - Reliable,Tertiary,Estuary,198610,,4,,49,,Significant Weather Events,,Data Not Available,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,839,,Number of connections known,9,,Number of metered connections,2014,,4 - Reliable,,Measure Not Applicable,Prohibited activity under regional plan,,5 - Highly Reliable,12.25,,Other (Please identify in the comments section),AEP of 10% (pre climate change) ie 10yr ARI,ARI based on HIRD,,4 - Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,2023,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,,Riverlands- Via Blenheim WWTP,22,,4 - Reliable,Tertiary,Estuary,536931,,10,,109,,Other (Please identify in the comments section),,Data Not Available,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,8,,Number of connections known,109,,Number of metered connections,19,,4 - Reliable,,Measure Not Applicable,Prohibited activity under regional plan,,5 - Highly Reliable,10.9,,Other (Please identify in the comments section),AEP of 10% (pre climate change) ie 10yr ARI,ARI based on HIRD,,4 - Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,2023,,5 - Highly Reliable
ACC-00008520,Marlborough District Council,,Spring Creek - Via Blenheim WWTP,28,,4 - Reliable,Tertiary,Estuary,86678,,2,,35,,Significant Weather Events,,Data Not Available,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,150,,Number of connections known,10,,Number of metered connections,353,,4 - Reliable,,Data Not Available,Prohibited activity under regional plan,,5 - Highly Reliable,17.5,,Other (Please identify in the comments section),AEP of 10% (pre climate change) ie 10yr ARI,ARI based on HIRD,,4 - Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,2023,,5 - Highly Reliable
ACC-00001026,Masterton District Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
ACC-00008588,Ministry of Education,,,,Measure Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC-00008541,Nelson City Council,,,204,,5 - Highly Reliable,,,3431000,,91,,927,,Significant Weather Events,,Data Not Available,,,,,5 - Highly Reliable,11530,,Estimation by residential buildings,816,,Estimation by non-residential buildings,,,4 - Reliable,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC-00001000,New Zealand Defence Force,,,24.89,,4 - Reliable,Tertiary,River,251401,,7.971873415,,22.37,,Significant Weather Events,0,,0,,0,,2 - Uncertain,215,,Estimation by residential buildings,238,,Estimation by residential buildings,2800,,4 - Reliable,2,,,"Not specifically mentioned in regional plan.  Discharge of municipal sewage to land is permitted subject to conditions, discharge to water is prohibited.",4 - Reliable,2,,Other (Please identify in the comments section),NZDF Infrastructure Standards for Used Water 2023,,,,0,,44.02819385,,0,,1563.408,,3 - Less Reliable,800,,10,,0,,0,,960,,To a worm farm.,0,,,Data Not Available,
