Account ID,Org Name,Wastewater network ID,Wastewater network/plant name,W-A2 Total length of wastewater pipes (km),W-A2 Reason not available,W-A2 Data confidence,W-A7 Wastewater treatment processes - highest level,W-A8 Receiving environment for treated wastewater,W-A9 Volume of wastewater treated at treatment plant (m3/year),W-A9 Reason not available,W-A9.1 Average nominal flows (L/s),W-A9.1 Reason not available,W-A9.2 Average peak flows (L/s),W-A9.2 Reason not available,W-A9.3 Reason for peak flow,W-A10 Volume of trade waste treated (m3/year),W-A10 Reason not available,W-A11 Volume of septage imported for treatment (m3/year),W-A11 Reason not available,W-A12 Volume of treated wastewater applied to land (m3/year),W-A12 Reason not available,W-A7 to W-A12 Data confidence,W-EH1 Number of residential connections,W-EH1 Reason not available,W-EH1 Method of determining connections,W-EH2 Number of non-residential connections,W-EH2 Reason not available,W-EH2 Method of determining connections,W-EH3 Total population served by the wastewater network,W-EH3 Reason not available,W-EH1 to W-EH3 Data confidence,W-EH4 Number of resource consents held for WW network,W-EH4 Reason not available,W-EH9 WW overflow regulation approach under local regional plan,W-EH9 Comments,W-EH4 to W-EH9 Data confidence,W-EH20 WWTP peak flow to nominal flow ratio,W-EH20 Reason not available,W-EH21 Design standards for calculating WW overflow capacity,W-EH21 Comments,W-EH22 Levels of service for preventing WW overflows due to stormwater (%),W-EH22 Comments,W-EH21 to W-EH23 Data confidence,W-RE3 Wastewater treatment wetland emissions (tCO2e/year),W-RE3 Reason not available,W-RE4 Wastewater effluent disposal emissions (tCO2e/year),W-RE4 Reason not available,W-RE5 Wastewater sludge treatment emissions (tCO2e/year),W-RE5 Reason not available,W-RE6 Wastewater sludge disposal emissions (tCO2e/year),W-RE6 Reason not available,W-RE3 to W-RE6 Data confidence,W-RE7 Production of biosolids (m3),W-RE7 Reason not available,W-RE8 % of dry solids in biosolids,W-RE8 Reason not available,W-RE9 % disposal of biosolids to onsite stockpile,W-RE9 Reason not available,W-RE10 Disposal of biosolids to landfill (tonnes),W-RE10 Reason not available,W-RE11 Disposal of biosolids composting and reuse (tonnes),W-RE11 Reason not available,W-RE11 Biosolids reuse - how and where,W-RE12 Disposal of biosolids to other routes (tonnes),W-RE12 Reason not available,W-RE13 Last year plant or pond was desludged (yyyy),W-RE13 Reason not available,W-RE7 to W-RE13 Data confidence
ACC-00001012,Hurunui District Council,WWN-00194,Motunau Beach,5,,5 - Highly Reliable,Secondary,Land,7481,,1,,2,,Significant Weather Events,0,Data Not Available,0,,7481,,4 - Reliable,,Data Not Available,,,Data Not Available,,27,,2 - Uncertain,1,,Measure Not Applicable,No selection available in template,4 - Reliable,2,,Internal code of practice,,,,,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,5 - Highly Reliable,,Data Not Available,,Data Not Available,0,,0,,0,,,0,,2018,,
ACC-00001012,Hurunui District Council,WWN-00195,Waikari,11,,5 - Highly Reliable,Secondary,Land,36979,,5,,8,,Significant Weather Events,0,Data Not Available,0,,36979,,4 - Reliable,,Data Not Available,,,Data Not Available,,273,,2 - Uncertain,6,,Measure Not Applicable,No selection available in template,4 - Reliable,1.6,,Internal code of practice,,,,,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,5 - Highly Reliable,,Data Not Available,,Data Not Available,0,,0,,0,,,0,,2017,,
ACC-00008502,Invercargill City Council,WWN-00196,Bluff,26,,4 - Reliable,Secondary,Marine,354005,,11,,45,,Significant Weather Events,60000,,0,,0,,4 - Reliable,1049,,Number of connections known,67,,Other (Please identify in the comments section),1820,,4 - Reliable,2,,Measure Not Applicable,No consent or condition of discharge consent held,5 - Highly Reliable,4,,Internal code of practice,Based on 0.7litre/sec/ha. This value included for peaking flows. In our Code for Land Development.,100,No wastewater overflows as a result of stormwater ingress,5 - Highly Reliable,0,,79,,0,,0,,5 - Highly Reliable,0,,0,,100,,0,,0,,,0,,,Measure Not Applicable,5 - Highly Reliable
ACC-00008502,Invercargill City Council,WWN-00197,Clifton,350,,4 - Reliable,Tertiary,Estuary,11616989,,365,,1150,,Significant Weather Events,2000000,,43500,,0,,4 - Reliable,21323,,Other (Please identify in the comments section),1500,,Other (Please identify in the comments section),52034,,4 - Reliable,8,,Measure Not Applicable,Emergency discharge consent held,5 - Highly Reliable,3,,Internal code of practice,Based on 0.7litre/sec/ha. This value included for peaking flows. In our Code for Land Development.,100,No wastewater overflows as a result of stormwater ingress,5 - Highly Reliable,0,,3597,,4,,39,,4 - Reliable,24663,,2.6,,100,,0,,0,,No reuse of biosolids.  Biosolids are spread to reserve land with final intention of planting the land in natives.,0,,,Measure Not Applicable,4 - Reliable
ACC-00008502,Invercargill City Council,WWN-00198,Omaui,2,,4 - Reliable,Secondary,Land,1752,,1,,1,,Measure Not Applicable,0,,0,,1752,,4 - Reliable,32,,Number of connections known,0,,Other (Please identify in the comments section),50,,4 - Reliable,1,,Measure Not Applicable,No consent or condition of discharge consent held,5 - Highly Reliable,1,,Internal code of practice,Based on 0.7litre/sec/ha. This value included for peaking flows. In our Code for Land Development.,100,No known infiltration to this very small network,5 - Highly Reliable,0,,2,,0,,0,,5 - Highly Reliable,0,,0,,100,,0,,0,,,0,,,Measure Not Applicable,5 - Highly Reliable
ACC-00001004,Kaikoura District Council,WWN-00199,Kaikoura,63,,4 - Reliable,Secondary,Land,374847,,12,,40,,Significant Weather Events,0,Data Not Available,150,,318620,Data Not Available,4 - Reliable,1400,,Estimation by residential buildings,50,,Estimation by non-residential buildings,3750,,4 - Reliable,10,,,Restricted discretionary,5 - Highly Reliable,333,,NZS4404,,90,,4 - Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,5 - Highly Reliable,25,,40,,100,,0,,0,,,0,,2023,,3 - Less Reliable
ACC-00001094,Kaipara District Council,WWN-00200,Dargaville,53,,4 - Reliable,Secondary,Land,760962,,24,,65,,Significant Weather Events,0,Data Not Available,0,Measure Not Applicable,858855,,4 - Reliable,2018,,Number of connections known,281,,Other (Please identify in the comments section),4637,,3 - Less Reliable,1,,,Permitted,3 - Less Reliable,,,NZS4404,,0,SW and rain events are currently not specifically related back to WW - however it is a known issue which needs to be addressed. SW systems are required to cope with a 1:50 year event or 2 % AEP,3 - Less Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,2 - Uncertain,0,,0,,0,,0,,0,,,0,,2021,,4 - Reliable
ACC-00001094,Kaipara District Council,WWN-00201,Glinks Gully,5,Data Not Available,4 - Reliable,Pre-treatment,Land,2822,,1,,1,,Seasonal Changes,0,Data Not Available,0,Measure Not Applicable,2822,,4 - Reliable,24,,Number of connections known,1,,Other (Please identify in the comments section),50,,3 - Less Reliable,1,,,Restricted Discretionary,3 - Less Reliable,,,NZS4404,,,,3 - Less Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,2 - Uncertain,0,,0,,0,,0,,0,,,0,,,Measure Not Applicable,4 - Reliable
ACC-00001094,Kaipara District Council,WWN-00202,Kaiwaka,6,,4 - Reliable,Tertiary,Wetland,,Data Not Available,,Data Not Available,,Data Not Available,,0,Data Not Available,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,155,,Number of connections known,31,,Other (Please identify in the comments section),590,,3 - Less Reliable,1,,,Resource Consent is required but no consent held,3 - Less Reliable,,,NZS4404,,,,3 - Less Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,2 - Uncertain,0,Data Not Available,0,,0,,0,,0,,,0,,2013,,3 - Less Reliable
ACC-00001094,Kaipara District Council,WWN-00203,Mangawhai,148,,4 - Reliable,Tertiary,Land,258750,,8,,21,,Significant Weather Events,0,Data Not Available,0,Measure Not Applicable,202486,,4 - Reliable,2696,,Number of connections known,68,,Other (Please identify in the comments section),3881,,3 - Less Reliable,1,,,Permitted,3 - Less Reliable,,,NZS4404,,,SW and rain events are currently not specifically related back to WW - however it is a known issue which needs to be addressed. SW systems are required to cope with a 1:50 year event or 2 % AEP,3 - Less Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,2 - Uncertain,0,,12,,0,,936,,0,,,0,,2017,,3 - Less Reliable
ACC-00001094,Kaipara District Council,WWN-00204,Maungaturoto,15,,4 - Reliable,Tertiary,Marine,127170,,4,,22,,Significant Weather Events,0,Data Not Available,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,341,,Number of connections known,66,,Other (Please identify in the comments section),677,,3 - Less Reliable,1,,,Restricted Discretionary,3 - Less Reliable,,,NZS4404,,,,3 - Less Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,2 - Uncertain,0,,0,,0,,0,,0,,,0,,2014,,3 - Less Reliable
ACC-00001094,Kaipara District Council,WWN-00205,Maungaturoto Railway Village,2,Data Not Available,4 - Reliable,Pre-treatment,Wetland,,Data Not Available,,Data Not Available,,Data Not Available,,0,Data Not Available,0,Measure Not Applicable,695,,4 - Reliable,7,,Number of connections known,0,,Other (Please identify in the comments section),17,,3 - Less Reliable,1,,,Restricted Discretionary,3 - Less Reliable,,,NZS4404,,,,3 - Less Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,2 - Uncertain,0,Data Not Available,0,,0,,0,,0,,,0,,,Measure Not Applicable,4 - Reliable
ACC-00001094,Kaipara District Council,WWN-00206,Te Kopuru,8,,4 - Reliable,Secondary,River,,Data Not Available,,Data Not Available,,Data Not Available,Data Not Available,0,Data Not Available,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable,197,,Number of connections known,16,,Other (Please identify in the comments section),526,,3 - Less Reliable,1,,,Resource Consent is required but no consent held,3 - Less Reliable,,,NZS4404,,,,3 - Less Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,2 - Uncertain,0,,0,,0,,0,,0,,,0,,,Data Not Available,4 - Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00207,Otaki,82.304148,,5 - Highly Reliable,Tertiary,Land,582240,,18.8,,157.9,,Otaki Peak flow was on the 1/09/24 and coincides with 21.5 mm of daily rainfall and 112.0 mm in the prior 7 days,1420,,0,,582570.5,,4 - Reliable,3383,,Estimation by residential buildings,335,,Estimation by non-residential buildings,7424,,4 - Reliable,3,,,"Notify Greater Wellington,affected mana Whenua and Fish and Game within 24 hours of overflow event. Keep each party informed on water sampling until the affected water body returns to ""normal"" water quality. Upon completion on event, Council updates the wastewater overflow register",5 - Highly Reliable,2.9,,Other (Please identify in the comments section),HAL Report from 2025 verficiation outlined needed upgrades  that exceed the 1:5 year containmnet standard,20,1:5 year Council budgets set to respond to 1:2 year improvements but containment standard is 1:5 year.,4 - Reliable,0,,126,,0,,0,,4 - Reliable,3500,,9,,0,,0,,0,,,0,,2023,,4 - Reliable
ACC-00008506,Kapiti Coast District Council,WWN-00208,Paraparaumu,407.459951,,5 - Highly Reliable,Tertiary,Stream,3629438.912,,115.2,,222.3,,Paraparaumu Peak flow was on the 1/09/24 and coincides with 17.0 mm of daily rainfall  and 130.6 mm in the prior 7 days,37695,,1043.7,,0,,4 - Reliable,17620,,Estimation by residential buildings,795,,Estimation by non-residential buildings,42756,,4 - Reliable,11,,,"Notify Greater Wellington,affected mana Whenua and Fish and Game within 24 hours of overflow event. Keep each party informed on water sampling until the affected water body returns to ""normal"" water quality. Upon completion on event, Council updates the wastewater overflow register",5 - Highly Reliable,2,,Other (Please identify in the comments section),HAL Report from 2025 verficiation outlined needed upgrades  that exceed the 1:5 year containmnet standard,20,1:5 year Council budgets set to respond to 1:2 year improvements but containment standard is 1:5 year.,4 - Reliable,0,,1194,,0,,0,,4 - Reliable,5244,,59,,0,,2094,,0,,,0,,2023,,4 - Reliable
ACC-00008542,Kawerau District Council,WWN-00209,Kawerau,55,,5 - Highly Reliable,Tertiary,Land,722186,,23,,30,,Data Not Available,120796,,0,,722186,,4 - Reliable,2740,Measure Not Applicable,Estimation by residential buildings,200,Measure Not Applicable,Estimation by non-residential buildings,7820,Measure Not Applicable,5 - Highly Reliable,1,,Data Not Available,BOPRC Regional Best PRactice Guide for thr Management of WW Overflows,5 - Highly Reliable,1.304347826,,NZS4404,,0,,4 - Reliable,,Data Not Available,,Data Not Available,,Data Not Available,,Data Not Available,5 - Highly Reliable,183.28,,,Data Not Available,,Data Not Available,183.28,Data Not Available,,Data Not Available,,,Measure Not Applicable,,Data Not Available,4 - Reliable
ACC-00008572,Mackenzie District Council,WWN-00210,Burkes Pass,2,,4 - Reliable,Secondary,Land,6135,,10,,,Data Not Available,,,Data Not Available,,,,,,,,,,,Other (Please identify in the comments section),,,,1,,,The LWRP does not allow uncontrolled overflows,,,,Other (Please identify in the comments section),Modelling,,Not measured,,Not measured,,Not measured,,Not measured,,Not measured,,,Not measured,,Not measured,,Not measured,,Not measured,,0,,,0,,,,
ACC-00008572,Mackenzie District Council,WWN-00211,Fairlie,17,,4 - Reliable,Secondary,Land,163196,,287,,,Data Not Available,,,Data Not Available,,,,,,,,,,,Other (Please identify in the comments section),,,,1,,,The LWRP does not allow uncontrolled overflows,,,,Other (Please identify in the comments section),Modelling,,Not measured,,Not measured,,Not measured,,Not measured,,Not measured,,,Not measured,,Not measured,,Not measured,,Not measured,,0,,,0,,2023,,5 - Highly Reliable
ACC-00008572,Mackenzie District Council,WWN-00212,Tekapo,31,,4 - Reliable,Secondary,Land,270153,,740,,,Data Not Available,,,Data Not Available,,,,,,,,,,,Other (Please identify in the comments section),,,,1,,,The LWRP does not allow uncontrolled overflows,,,,Other (Please identify in the comments section),Modelling,,Not measured,,Not measured,,Not measured,,Not measured,,Not measured,,,Not measured,,Not measured,,Not measured,,Not measured,,0,,,0,,2023,,5 - Highly Reliable
ACC-00001000,New Zealand Defence Force,WWN-00212,Tekapo,2.36,,4 - Reliable,Secondary,Land,2647.45,,0.083950089,,1.006944444,,Population Variance,0,,0,,0,,2 - Uncertain,2,,Estimation by residential buildings,18,,Estimation by residential buildings,200,,4 - Reliable,1,,,Overflows are non-complying or prohibited,4 - Reliable,11,,Other (Please identify in the comments section),NZDF Infrastructure Standards for Used Water 2023,,,,0,,0.342230211,,0,,0,,3 - Less Reliable,0,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Data Not Available,
ACC-00008572,Mackenzie District Council,WWN-00213,Twizel,74,,4 - Reliable,Secondary,Land,247719,,619,,,Data Not Available,,,Data Not Available,,,,,,,,,,,Other (Please identify in the comments section),,,,1,,,The LWRP does not allow uncontrolled overflows,,,,Other (Please identify in the comments section),Modelling,,Not measured,,Not measured,,Not measured,,Not measured,,Not measured,,,Not measured,,Not measured,,Not measured,,Not measured,,0,,,0,,2023,,5 - Highly Reliable
ACC-00007492,Manawatu District Council,WWN-00214,Awahuri,1,,4 - Reliable,Secondary,River,2262,,0,,1,,Significant Weather Events,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,14,,Number of connections known,6,,Number of metered connections,40,,4 - Reliable,1,,,Prohibited activity under regional plan,4 - Reliable,1.8,,Other (Please identify in the comments section),Engineering Standards for Land Development adopted 2024,10,10 year ARI,4 - Reliable,,Measure Not Applicable,1,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00007492,Manawatu District Council,WWN-00215,Cheltenham,3,,4 - Reliable,Secondary,River,7328,,0,,1,,Significant Weather Events,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,27,,Number of connections known,17,,Number of metered connections,76,,4 - Reliable,1,,,Prohibited activity under regional plan,4 - Reliable,10,,Other (Please identify in the comments section),Engineering Standards for Land Development adopted 2024,10,10 year ARI,4 - Reliable,,Measure Not Applicable,4,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00007492,Manawatu District Council,WWN-00216,Feilding,208,,4 - Reliable,Tertiary,River,3045665.364,,97,,338,,Significant Weather Events,688428,,2613,,587541.18,,4 - Reliable,6560,,Number of connections known,1123,,Number of metered connections,18250,,4 - Reliable,6,,,Prohibited activity under regional plan,4 - Reliable,9,,Other (Please identify in the comments section),Engineering Standards for Land Development adopted 2024,10,10 year ARI,4 - Reliable,,Data Not Available,1571,,,Data Not Available,7840,,3 - Less Reliable,5000,,2,Data Not Available,100,,0,,0,,,0,,2025,,3 - Less Reliable
ACC-00007492,Manawatu District Council,WWN-00217,Halcombe,8,,4 - Reliable,Secondary,River,26289,,0,,3,,Significant Weather Events,,Measure Not Applicable,,Measure Not Applicable,16425,,4 - Reliable,117,,Number of connections known,48,,Number of metered connections,328,,4 - Reliable,2,,,Prohibited activity under regional plan,4 - Reliable,7,,Other (Please identify in the comments section),Engineering Standards for Land Development adopted 2024,10,10 year ARI,4 - Reliable,,Measure Not Applicable,14,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,2023,,4 - Reliable
ACC-00007492,Manawatu District Council,WWN-00218,Himatangi Beach,17,,4 - Reliable,Secondary,Land,58455,,1,,9,,Significant Weather Events,,Measure Not Applicable,,Measure Not Applicable,58455,,4 - Reliable,337,,Number of connections known,19,,Number of metered connections,580,,4 - Reliable,1,,,Prohibited activity under regional plan,4 - Reliable,8,,Other (Please identify in the comments section),Engineering Standards for Land Development adopted 2024,10,10 year ARI,4 - Reliable,,Measure Not Applicable,30,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00007492,Manawatu District Council,WWN-00219,Kimbolton,7,,4 - Reliable,Secondary,River,5475,,0,,1,,Significant Weather Events,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,70,,Number of connections known,34,,Number of metered connections,230,,4 - Reliable,2,,,Prohibited activity under regional plan,4 - Reliable,5,,Other (Please identify in the comments section),Engineering Standards for Land Development adopted 2024,10,10 year ARI,4 - Reliable,,Data Not Available,3,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00007492,Manawatu District Council,WWN-00220,Rongotea,23,,4 - Reliable,Secondary,River,31354,,0,,3,,Significant Weather Events,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,274,,Number of connections known,53,,Number of metered connections,767,,4 - Reliable,2,,,Prohibited activity under regional plan,4 - Reliable,3,,Other (Please identify in the comments section),Engineering Standards for Land Development adopted 2024,10,10 year ARI,4 - Reliable,,Measure Not Applicable,16,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,2016,,4 - Reliable
ACC-00001026,Masterton District Council,WWN-00226,Castlepoint,5,,5 - Highly Reliable,Primary,Wetland,5164,,1,,1,,Significant Weather Events,0,,0,,5164,,4 - Reliable,174,,Number of connections known,3,,,1300,,3 - Less Reliable,1,,,Treated as overflow.,4 - Reliable,13.2,,NZS4404,,,Not clear that this is included in the network design,4 - Reliable,,Data Not Available,,Data Not Available,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,0,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00001026,Masterton District Council,WWN-00227,Homebush,209,,5 - Highly Reliable,Secondary,River,5000000,,158,,450,,Significant Weather Events,,Data Not Available,,Data Not Available,950000,,4 - Reliable,9436,,Number of connections known,,,,29000,,4 - Reliable,2,,,1 consent held for emergency discharge point. Other instances treated as overflows.,4 - Reliable,3.5,,NZS4404,,,Not clear that this is included in the network design,4 - Reliable,,Measure Not Applicable,4100,,,Measure Not Applicable,,Measure Not Applicable,3 - Less Reliable,0,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00001026,Masterton District Council,WWN-00228,Riversdale,19,,5 - Highly Reliable,Secondary,Land,43300,,1,,1,,Significant Weather Events,0,,0,,43300,,4 - Reliable,350,,Number of connections known,0,,,2200,,3 - Less Reliable,1,,,Treated as overflow.,4 - Reliable,10,,NZS4404,,,Not clear that this is included in the network design,4 - Reliable,,Measure Not Applicable,,Data Not Available,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,0,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00001119,Southland District Council,WWN-00228,Riversdale,10,,5 - Highly Reliable,Secondary,Land,63620,,174,,582,,Seasonal Changes,0,Measure Not Applicable,0,Measure Not Applicable,63620,,5 - Highly Reliable,209,,Other (Please identify in the comments section),32,,Other (Please identify in the comments section),514,,5 - Highly Reliable,1,,Measure Not Applicable,All are prohibited activity under the regional plan.,5 - Highly Reliable,4,,NZS4404,,100,No overflows from the past 12 months.,3 - Less Reliable,320,,109,,564,,564,,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,Biosolids were not reused by SDC.,,Measure Not Applicable,2018,,3 - Less Reliable
ACC-00001026,Masterton District Council,WWN-00229,Tinui,2,,5 - Highly Reliable,Primary,Land,4721,,1,,1,,Significant Weather Events,0,,0,,4721,,4 - Reliable,15,,Number of connections known,0,,,314,,4 - Reliable,1,,,Treated as overflow.,4 - Reliable,8.8,,NZS4404,,,Not clear that this is included in the network design,4 - Reliable,,Data Not Available,,Data Not Available,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,0,Measure Not Applicable,,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,0,Measure Not Applicable,,0,Measure Not Applicable,,Measure Not Applicable,4 - Reliable
ACC-00008512,Matamata Piako District Council,WWN-00230,Matamata,122,,5 - Highly Reliable,Tertiary,River,782541,,24,,70,,Significant Weather Events,,Measure Not Applicable,334,,,Measure Not Applicable,5 - Highly Reliable,3781,,Other (Please identify in the comments section),,Data Not Available,Data Not Available,9786,,3 - Less Reliable,3,,Prohibited activity under regional plan,,5 - Highly Reliable,3,,Internal code of practice,Regional Infrastucture Technical Specification,,We currently have no formal LOS (ARI or AEP) for sewer overflows.,5 - Highly Reliable,,Measure Not Applicable,,Data Not Available,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Data Not Available,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00231,Morrinsville,108,,5 - Highly Reliable,Tertiary,River,1818396,,52,,127,,Significant Weather Events,557571,,13988,,,Measure Not Applicable,5 - Highly Reliable,3379,,Other (Please identify in the comments section),,Data Not Available,Data Not Available,9099,,4 - Reliable,8,,Prohibited activity under regional plan,,5 - Highly Reliable,2,,Internal code of practice,Regional Infrastucture Technical Specification,,We currently have no formal LOS (ARI or AEP) for sewer overflows.,5 - Highly Reliable,,Measure Not Applicable,,Data Not Available,,Data Not Available,,Measure Not Applicable,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Data Not Available,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00232,Piako - Tahuna,3,,5 - Highly Reliable,Tertiary,River,25581,,1,,3,,Significant Weather Events,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,60,,Other (Please identify in the comments section),,Data Not Available,Data Not Available,130,,3 - Less Reliable,1,,Prohibited activity under regional plan,,5 - Highly Reliable,3,,Internal code of practice,Regional Infrastucture Technical Specification,,We currently have no formal LOS (ARI or AEP) for sewer overflows.,5 - Highly Reliable,,Measure Not Applicable,,Data Not Available,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Data Not Available,5 - Highly Reliable
ACC-00008512,Matamata Piako District Council,WWN-00233,Te Aroha,66,,5 - Highly Reliable,Tertiary,River,649514,,18,,44,,Significant Weather Events,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,1964,,Other (Please identify in the comments section),,Data Not Available,Data Not Available,4962,,3 - Less Reliable,4,,Prohibited activity under regional plan,,5 - Highly Reliable,2,,Internal code of practice,Regional Infrastucture Technical Specification,,We currently have no formal LOS (ARI or AEP) for sewer overflows.,5 - Highly Reliable,,Measure Not Applicable,,Data Not Available,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Data Not Available,5 - Highly Reliable
ACC-00001141,Napier City Council,WWN-00235,Napier,397,,4 - Reliable,Secondary,Marine,8934395,,283,,610,,Significant Weather Events,2000000,,,Data Not Available,,Measure Not Applicable,4 - Reliable,22965,,Number of connections known,1476,,Estimation by non-residential buildings,57413,,4 - Reliable,2,,Data Not Available,Resource consent is required but no consent held,4 - Reliable,3.55,,Other (Please identify in the comments section),nzs 4404 :2010 + NCC CoP,,Data not available,4 - Reliable,0,,3146,,0,,0,,4 - Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00236,Nelson Regional Sewerage Scheme - Bells Island,226,,5 - Highly Reliable,Secondary,Estuary,6855260,,160,,1229,,Significant Weather Events,5898180,,12666,,46319,,5 - Highly Reliable,,,Measure Not Applicable,7,,Number of metered connections,,Measure Not Applicable,5 - Highly Reliable,29,,,As per Resource Consent,4 - Reliable,7.7,,Measure Not Applicable,Capacity requirements are requested by contributing customers,,Capacity requirements are requested by contributing customers,5 - Highly Reliable,,Measure Not Applicable,3612,,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,32843,,2.844,,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,32843,,2023,,5 - Highly Reliable
ACC-00008541,Nelson City Council,WWN-00237,Nelson,212,,5 - Highly Reliable,Secondary,Marine,3430000,,91,,910,,Significant Weather Events,,Data Not Available,,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,10502,,Estimation by residential buildings,1269,,Estimation by non-residential buildings,,,4 - Reliable,11,,,As per Resource Consent,4 - Reliable,10,,Internal code of practice,Nelson Tasman Land Developmentt Manual,39,2 year Return Period,5 - Highly Reliable,,Data Not Available,202,,,Data Not Available,,Data Not Available,4 - Reliable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,,,Measure Not Applicable,2014,,4 - Reliable
