Account ID,Org Name,Supply ID,Supply name,D-A5 Length of pipe in network (km),D-A5 Reason not available,D-A6 Number of drinking water abstraction points,D-A6 Reason not available,D-A7 Main drinking water network source type,D-A7 Comments,D-EH1.1 Number of residential connections,D-EH1.1 Reason not available,D-EH1.1 Method of determining connections,D-EH1.1 Comments,D-EH1.2 Number of residential units,D-EH1.2 Reason not available,D-EH1.2 Method of determining units,D-EH1.2 Comments,D-EH2.1 Number of non-residential connections,D-EH2.1 Reason not available,D-EH2.1 Method of determining connections,D-EH2.1 Comments,D-EH2.2 Number of non-residential units,D-EH2.2 Reason not available,D-EH2.2 Method of determining units,D-EH2.2 Comments,D-EH3 Total population served,D-EH3 Reason not available,D-A5 to D-EH3 Data confidence,D-EH4 Total volume of water supplied to network (m3/year),D-EH4 Reason not available,D-EH7 Volume of non-residential water use (m3/year),D-EH7 Reason not available,D-EH4 and D-EH7 Data confidence,D-EH8 Number of resource consents held,D-EH8 Reason not available,D-EH8 Data confidence,D-EH17 Amount of sludge produced (tonnes/year),D-EH17 Reason not available,D-EH20.1 Disposal route for sludge,D-EH20.1 Comments,D-EH20.1 Reason not available,D-EH18 Amount of backwash water used (m3/year),D-EH18 Reason not available,D-EH20.2 Disposal route for backwash water,D-EH20.2 Comments,D-EH20.2 Reason not available,D-EH19 Amount of screenings removed (tonnes/year),D-EH19 Reason not available,D-EH20.3 Disposal route for screenings,D-EH20.3 Comments,D-EH20.3 Reason not available,D-EH17 to D-EH20.3 Data confidence,D-EH21 Fish passage impeded assessment,D-EH21 Comments,D-EH22 Processes to prevent fish ingress,D-EH22 Comments,D-EH21 to D-EH22 Data confidence,D-R15 Average system pressure (kPa),D-R15 Reason not available,D-R16 Reference level for water pressure set?,D-R17 Reference level for water pressure (kPa),D-R17 Reason not available,D-R18 Number of properties below reference pressure level,D-R18 Reason not available,D-R15 to D-R18 Data confidence,D-RE1 Total drinking water loss across network (m3/year),D-RE1 Includes private water loss?,D-RE1 Reason not available,D-RE2.1 Current annual real loss - CARL (m3/year),D-RE2.1 Reason not available,D-RE2.2 Unavoidable annual real losses - UARL (m3/year),D-RE2.2 Reason not available,D-RE3 Infrastructure leakage index - ILI,D-RE1 to D-RE3 Data confidence,D-RE4 Median residential water consumption (L/connection/day),D-RE4 Reason not available,D-RE4 Data confidence
ACC-00008589,Waimakariri District Council,RAN001,Rangiora,271,,1,,Bore,,7846,,Estimation by residential buildings,,8202,,Estimation by residential buildings,,372,,Estimation by non-residential buildings,,689,,Estimation by non-residential buildings,,19615,,4 - Reliable,2542413.823,,430762.8,,4 - Reliable,1,,5 - Highly Reliable,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,541.32708,,Yes,250,,0,,5 - Highly Reliable,735467.4733,No,,735467.4733,,220936.5206,,3.328863292,4 - Reliable,459.6885989,,4 - Reliable
ACC-00008589,Waimakariri District Council,WAI011,Waikuku Beach,17,,1,,Bore,,480,,Estimation by residential buildings,,480,,Estimation by residential buildings,,2,,Estimation by non-residential buildings,,15,,Estimation by non-residential buildings,,1200,,4 - Reliable,230801.1914,,9378,,4 - Reliable,1,,5 - Highly Reliable,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,415.409694,,Yes,250,,0,,5 - Highly Reliable,34736.32258,No,,34736.32258,,10075.2667,,3.447682689,4 - Reliable,1065.56432,,4 - Reliable
ACC-00008589,Waimakariri District Council,WES004,West Eyreton,92,,1,,Bore,,404,,Estimation by residential buildings,,404,,Estimation by residential buildings,,0,,Estimation by non-residential buildings,,0,,Estimation by non-residential buildings,,1010,,4 - Reliable,213004.1036,,0,,4 - Reliable,1,,5 - Highly Reliable,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,665.871535,,Yes,150,,0,,5 - Highly Reliable,68363.04,No,,68363.04,,41298.23306,,1.65535024,4 - Reliable,980.8833826,,4 - Reliable
ACC-00001017,Waimate District Council,HOO001,Hook/Waituna Rural,260,,1,,Infiltration gallery,,294,,Estimation by residential buildings,,294,,Estimation by residential buildings,,199,,Estimation by non-residential buildings,,199,,Estimation by non-residential buildings,,962,,3 - Less Reliable,328606,,391541,,2 - Uncertain,2,,5 - Highly Reliable,0,,Measure Not Applicable,,Measure Not Applicable,0,,Measure Not Applicable,,,0,,Measure Not Applicable,,,5 - Highly Reliable,Yes,,Measure Not Applicable,,5 - Highly Reliable,450,,Yes,200,,110,,4 - Reliable,,,Data Not Available,,Data Not Available,,Data Not Available,,1 - Very Uncertain,,Data Not Available,1 - Very Uncertain
ACC-00001017,Waimate District Council,LOW002,Lower Waihao Rural,133,,1,,Bore,,65,,Estimation by residential buildings,,65,,Estimation by residential buildings,,196,,Estimation by non-residential buildings,,196,,Estimation by non-residential buildings,,700,,3 - Less Reliable,349515,,289872,,2 - Uncertain,1,,5 - Highly Reliable,0,,Measure Not Applicable,,Measure Not Applicable,0,,Measure Not Applicable,,,0,,Measure Not Applicable,,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,730,,Yes,200,,0,,4 - Reliable,,,Data Not Available,,Data Not Available,,Data Not Available,,1 - Very Uncertain,,Data Not Available,1 - Very Uncertain
ACC-00001017,Waimate District Council,OTA005,Otaio/Makikihi Rural,158,,1,,Bore,,108,,Estimation by residential buildings,,108,,Estimation by residential buildings,,125,,Estimation by non-residential buildings,,125,,Estimation by non-residential buildings,,422,,3 - Less Reliable,261934,,308166,,2 - Uncertain,3,,5 - Highly Reliable,0,,Measure Not Applicable,,Measure Not Applicable,0,,Measure Not Applicable,,,0,,Measure Not Applicable,,,5 - Highly Reliable,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,540,,Yes,200,,8,,4 - Reliable,,,Data Not Available,,Data Not Available,,Data Not Available,,1 - Very Uncertain,,Data Not Available,1 - Very Uncertain
ACC-00001017,Waimate District Council,WAI032,Waikakahi Rural,176,,1,,River/stream/creek,,35,,Estimation by residential buildings,,35,,Estimation by residential buildings,,141,,Estimation by non-residential buildings,,141,,Estimation by non-residential buildings,,344,,3 - Less Reliable,358096,,373384,,2 - Uncertain,3,,5 - Highly Reliable,0,,Measure Not Applicable,,Measure Not Applicable,0,,Measure Not Applicable,,,0,,Measure Not Applicable,,,5 - Highly Reliable,No,,Yes,,4 - Reliable,680,,Yes,200,,15,,4 - Reliable,,,Data Not Available,,Data Not Available,,Data Not Available,,1 - Very Uncertain,,Data Not Available,1 - Very Uncertain
ACC-00001017,Waimate District Council,WAI033,Waimate,90,,2,,Bore,,1867,,Estimation by residential buildings,,1867,,Estimation by residential buildings,,191,,Estimation by non-residential buildings,,191,,Estimation by non-residential buildings,,3416,,3 - Less Reliable,547701,,37786,,3 - Less Reliable,2,,5 - Highly Reliable,0,,Measure Not Applicable,,Measure Not Applicable,2496,,Land,,,0,,Measure Not Applicable,,,2 - Uncertain,Measure Not Applicable,,Measure Not Applicable,,5 - Highly Reliable,640,,Yes,200,,13,,4 - Reliable,,,Data Not Available,,Data Not Available,,Data Not Available,,1 - Very Uncertain,517,,4 - Reliable
ACC-00008578,Waipa District Council,CAM001,Cambridge,282,,3,,River/stream/creek,,7734,,Number of metered connections,,7879,,Estimation by residential buildings,,1147,,Number of metered connections,,998,,Estimation by non-residential buildings,,22191,,3 - Less Reliable,4174072,,2288191,,3 - Less Reliable,3,,5 - Highly Reliable,,Data Not Available,Other (Please identify in the comments section),Alpha St Plant produces about 20 tonnes per year to landfill but Karapiro's sludge is mixed with water and disposed of via the sewer so cannot get a total weight for sludge,,169146,,Freshwater,,,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,2 - Uncertain,Yes,,Yes,,5 - Highly Reliable,333,,Yes,200,,,Data Not Available,4 - Reliable,321260,No,,321260,,151802,,2.12,4 - Reliable,400,,4 - Reliable
ACC-00008578,Waipa District Council,KIH001,Kihikihi,46,,2,,Bore,,1165,,Number of metered connections,,1163,,Estimation by residential buildings,,265,,Number of metered connections,,244,,Estimation by non-residential buildings,,2984,,3 - Less Reliable,429396,,159605,,3 - Less Reliable,1,,5 - Highly Reliable,,Measure Not Applicable,Measure Not Applicable,Bore,Measure Not Applicable,,Measure Not Applicable,Measure Not Applicable,,,,Measure Not Applicable,Measure Not Applicable,,Measure Not Applicable,2 - Uncertain,Yes,,Yes,,5 - Highly Reliable,466,,Yes,200,,,Data Not Available,4 - Reliable,55859,No,,55859,,33970,,1.64,4 - Reliable,413,,4 - Reliable
